8.46292	0.243462	-3.03909	-0.087429	8.46292	0.243462	8.6	0.25	-3.00029	0
8.41882	0.250634	-3.03722	0.077452	8.44818	0.251553	8.45	0.25	-3.00027	0
8.39755	0.272137	-1.22877	0.420698	8.56759	0.241943	8.45	0.25	0	0
8.38511	0.257991	-1.20079	0.0911291	8.45582	0.253997	8.45	0.25	0	0
8.30363	0.25517	-1.54588	0.0245177	8.42544	0.254042	8.35	0.25	-1.81979	0
8.22478	0.251093	-1.54039	-0.00577259	8.23962	0.24916	8.25	0.25	-1.81978	0
8.02945	0.229615	-2.71404	-0.128069	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.88211	0.188497	-2.72272	-0.268973	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.71438	0.172273	-2.97343	-0.281346	7.61269	0.155818	7.7	0.15	-2.99982	0
7.56052	0.159053	-2.98	-0.278175	7.54016	0.159641	7.55	0.15	-2.99982	0
7.4594	0.130583	-2.42529	-0.314719	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.32943	0.0800875	-2.41928	-0.41527	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.03985	0.0554865	-3.86366	-0.422918	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
6.86921	-0.00127873	-3.79491	-0.520192	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.56747	-0.0477153	-4.65741	-0.564639	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.40828	-0.142978	-4.4923	-0.749076	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.34603	-0.236644	-3.23357	-0.947872	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.26335	-0.340459	-3.10393	-1.11075	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.25159	-0.455119	-2.00513	-1.34808	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.21951	-0.558807	-1.89323	-1.45183	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.20141	-0.700885	-1.21322	-1.69702	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.18632	-0.870956	-1.13584	-1.92171	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.10833	-0.997322	-1.347	-1.95364	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.06971	-1.14559	-1.29304	-2.07082	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.15588	-1.35998	-0.019309	-2.57959	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.18753	-1.54388	0.027114	-2.69861	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.14123	-1.66996	-0.425279	-2.57257	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.13682	-1.84008	-0.412828	-2.68927	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.18668	-2.03315	0.173469	-3.01144	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.22054	-2.19292	0.216211	-3.0315	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.21615	-2.34728	0.0343063	-2.93665	6.32593	-2.40018	6.35	-2.4	0	-2.72613
