px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	4.94066e-324
0.001	0.001	0	0	0	0	0	0	0	0	0	2.22222e-05
1.55913	0.001	3.11626	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.886612
1.28332	0.001	2.49613	-8.27804e-09	-1.65561e-08	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	80.543
3.8909	0.000999978	2.71899	-2.48475e-08	-1.6565e-08	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.8121
3.85343	0.000999973	2.47697	-1.28868e-06	-2.53537e-06	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	299.731
6.86126	0.180373	3.54074	0.10894	0.0726269	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	4.42359
6.59477	0.48328	2.63682	0.311097	0.231655	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	15.62
9.05944	0.651555	2.19846	0.00826301	-0.123715	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	2.59504
9.04923	0.893927	2.51758	0.152908	-0.0248798	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	3.28855
11.5789	1.64005	2.88066	0.366289	0.13125	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.502502
11.537	1.45099	2.56409	0.268693	0.0811698	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.1637
13.5962	2.30174	2.00248	0.44435	0.14347	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.0972113
13.7356	2.03549	2.49721	0.251233	-0.00896432	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	5.72154
16.6449	2.89552	3.68877	0.307317	0.0335577	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.103636
16.4611	2.87811	2.89158	0.349729	0.0912639	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	3.50775
19.0072	3.71632	2.65028	0.323375	0.0148429	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.120676
19.0332	3.79335	2.58613	0.360571	0.0455331	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.80479
21.3314	4.73198	2.5368	0.407148	0.0462067	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.000126114
21.4255	4.71303	2.83781	0.370386	0.0139797	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.01183
